"sample","power"
2,0.285285285285285
3,0.603603603603604
4,0.804804804804805
5,0.907907907907908
7,0.972972972972973
10,1
15,1
20,1
30,1
40,1
50,1
100,1
200,1
300,1
400,1
500,1
